Data Type,Book,Chapter,Number of Verses or Mishnahs,,Books,,
Bible,Numbers,11,35,,,,
Bible,Numbers,12,16,,,,
Bible,Numbers,13,33,,,,
Bible,Numbers,14,45,,,,
Bible,Numbers,15,41,,,,
Bible,Numbers,16,35,,,,
Bible,Numbers,17,28,,,,
Bible,Numbers,18,32,,,,
Bible,Numbers,19,22,,,,
Bible,Numbers,20,29,,,,
Bible,Numbers,21,35,,,,
Bible,Numbers,22,41,,,,
Bible,Numbers,23,30,,,,
Bible,Numbers,24,25,,,,
Bible,Numbers,25,19,,,,
Bible,Numbers,26,65,,,,
Bible,Numbers,27,23,,,,
Bible,Numbers,28,31,,,,
Bible,Numbers,29,39,,,,
Bible,Numbers,30,17,,,,
Bible,Numbers,31,54,,,,
Bible,Numbers,32,42,,,,
Bible,Numbers,33,56,,,,
Bible,Numbers,34,29,,,,
Bible,Numbers,35,34,,,,
Bible,Numbers,36,13,,,,
Bible,Deuteronomy,1,46,,,,
Bible,Deuteronomy,2,37,,,,
Bible,Deuteronomy,3,29,,,,
Bible,Deuteronomy,4,49,,,,
Bible,Deuteronomy,5,30,,,,
Bible,Deuteronomy,6,25,,,,
Bible,Deuteronomy,7,26,,,,
Bible,Deuteronomy,8,20,,,,
Bible,Deuteronomy,9,29,,,,
Bible,Deuteronomy,10,22,,,,
Bible,Deuteronomy,11,32,,,,
Bible,Deuteronomy,12,31,,,,
Bible,Deuteronomy,13,19,,,,
Bible,Deuteronomy,14,29,,,,
Bible,Deuteronomy,15,23,,,,
Bible,Deuteronomy,16,22,,,,
Bible,Deuteronomy,17,20,,,,
Bible,Deuteronomy,18,22,,,,
Bible,Deuteronomy,19,21,,,,
Bible,Deuteronomy,20,20,,,,
Bible,Deuteronomy,21,23,,,,
Bible,Deuteronomy,22,29,,,,
Bible,Deuteronomy,23,26,,,,
Bible,Deuteronomy,24,22,,,,
Bible,Deuteronomy,25,19,,,,
Bible,Deuteronomy,26,19,,,,
Bible,Deuteronomy,27,26,,,,
Bible,Deuteronomy,28,69,,,,
Bible,Deuteronomy,29,28,,,,
Bible,Deuteronomy,30,20,,,,
Bible,Deuteronomy,31,30,,,,
Bible,Deuteronomy,32,52,,,,
Bible,Deuteronomy,33,29,,,,
Bible,Deuteronomy,34,12,,,,
Bible,Joshua,1,18,,,,
Bible,Joshua,2,24,,,,
Bible,Joshua,3,17,,,,
Bible,Joshua,4,24,,,,
Bible,Joshua,5,15,,,,
Bible,Joshua,6,27,,,,
Bible,Joshua,7,26,,,,
Bible,Joshua,8,35,,,,
Bible,Joshua,9,27,,,,
Bible,Joshua,10,43,,,,
Bible,Joshua,11,23,,,,
Bible,Joshua,12,24,,,,
Bible,Joshua,13,33,,,,
Bible,Joshua,14,15,,,,
Bible,Joshua,15,63,,,,
Bible,Joshua,16,10,,,,
Bible,Joshua,17,18,,,,
Bible,Joshua,18,28,,,,
Bible,Joshua,19,51,,,,
Bible,Joshua,20,9,,,,
Bible,Joshua,21,45,,,,
Bible,Joshua,22,34,,,,
Bible,Joshua,23,16,,,,
Bible,Joshua,24,33,,,,
Bible,Judges,1,36,,,,
Bible,Judges,2,23,,,,
Bible,Judges,3,31,,,,
Bible,Judges,4,24,,,,
Bible,Judges,5,31,,,,
Bible,Judges,6,40,,,,
Bible,Judges,7,25,,,,
Bible,Judges,8,35,,,,
Bible,Judges,9,57,,,,
Bible,Judges,10,18,,,,
Bible,Judges,11,40,,,,
Bible,Judges,12,15,,,,
Bible,Judges,13,25,,,,
Bible,Judges,14,20,,,,
Bible,Judges,15,20,,,,
Bible,Judges,16,31,,,,
Bible,Judges,17,13,,,,
Bible,Judges,18,31,,,,
Bible,Judges,19,30,,,,
Bible,Judges,20,48,,,,
Bible,Judges,21,25,,,,
Bible,I Samuel,1,28,,,,
Bible,I Samuel,2,36,,,,
Bible,I Samuel,3,21,,,,
Bible,I Samuel,4,22,,,,
Bible,I Samuel,5,12,,,,
Bible,I Samuel,6,21,,,,
Bible,I Samuel,7,17,,,,
Bible,I Samuel,8,22,,,,
Bible,I Samuel,9,27,,,,
Bible,I Samuel,10,27,,,,
Bible,I Samuel,11,15,,,,
Bible,I Samuel,12,25,,,,
Bible,I Samuel,13,23,,,,
Bible,I Samuel,14,52,,,,
Bible,I Samuel,15,35,,,,
Bible,I Samuel,16,23,,,,
Bible,I Samuel,17,58,,,,
Bible,I Samuel,18,30,,,,
Bible,I Samuel,19,24,,,,
Bible,I Samuel,20,42,,,,
Bible,I Samuel,21,16,,,,
Bible,I Samuel,22,23,,,,
Bible,I Samuel,23,28,,,,
Bible,I Samuel,24,23,,,,
Bible,I Samuel,25,44,,,,
Bible,I Samuel,26,25,,,,
Bible,I Samuel,27,12,,,,
Bible,I Samuel,28,25,,,,
Bible,I Samuel,29,11,,,,
Bible,I Samuel,30,31,,,,
Bible,I Samuel,31,13,,,,
Bible,II Samuel,1,27,,,,
Bible,II Samuel,2,32,,,,
Bible,II Samuel,3,39,,,,
Bible,II Samuel,4,12,,,,
Bible,II Samuel,5,25,,,,
Bible,II Samuel,6,23,,,,
Bible,II Samuel,7,29,,,,
Bible,II Samuel,8,18,,,,
Bible,II Samuel,9,13,,,,
Bible,II Samuel,10,19,,,,
